Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
282,Mateo Kovačić,hr CRO,MF,Chelsea,28,1994,19.0,36,24,16,14,6,14,36,38.9,22,10,1,9,19,55,16,0,Matches
283,Emil Krafth,se SWE,DF,Newcastle Utd,27,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
284,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,22,2000,23.0,38,15,23,7,8,16,44,36.4,28,19,0,19,13,51,7,0,Matches
285,Layvin Kurzawa,fr FRA,DF,Fulham,29,1992,1.5,3,2,1,1,1,3,3,100.0,0,1,1,0,2,5,4,0,Matches
286,Adam Lallana,eng ENG,"MF,FW",Brighton,34,1988,8.0,9,4,6,2,1,0,7,0.0,7,6,0,6,2,11,1,0,Matches
287,Tariq Lamptey,gh GHA,DF,Brighton,21,2000,5.0,11,6,6,4,1,5,7,71.4,2,7,3,4,7,18,2,0,Matches
288,Manuel Lanzini,ar ARG,"MF,FW",West Ham,29,1993,2.8,2,2,1,1,0,2,6,33.3,4,2,0,2,2,4,0,0,Matches
289,Aymeric Laporte,es ESP,DF,Manchester City,28,1994,11.0,11,8,6,4,1,7,11,63.6,4,10,4,6,3,14,30,1,Matches
290,Juan Larios,es ESP,DF,Southampton,18,2004,1.7,7,6,6,1,0,5,5,100.0,0,2,0,2,3,10,4,0,Matches
291,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28,1993,2.4,1,0,1,0,0,1,1,100.0,0,3,2,1,0,1,17,0,Matches
292,Roméo Lavia,be BEL,MF,Southampton,18,2004,24.7,60,35,27,29,4,21,53,39.6,32,47,11,36,33,93,23,1,Matches
293,Dexter Lembikisa,jm JAM,DF,Wolves,18,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
294,Mario Lemina,ga GAB,MF,Wolves,28,1993,14.4,38,24,22,13,3,20,38,52.6,18,26,8,18,14,52,24,1,Matches
295,Clément Lenglet,fr FRA,DF,Tottenham,27,1995,22.4,38,23,18,15,5,16,34,47.1,18,26,11,15,18,56,68,2,Matches
296,Bernd Leno,de GER,GK,Fulham,30,1992,36.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,18,0,Matches
297,Jefferson Lerma,co COL,MF,Bournemouth,27,1994,36.1,50,30,23,23,4,20,45,44.4,25,32,15,17,47,97,91,1,Matches
298,Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,24,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
299,Rico Lewis,eng ENG,"DF,MF",Manchester City,17,2004,10.0,16,9,9,5,2,6,11,54.5,5,8,4,4,6,22,13,1,Matches
300,Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,21,2001,3.6,1,0,0,1,0,0,0,,0,5,1,4,0,1,2,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
301,Victor Lindelöf,se SWE,DF,Manchester Utd,28,1994,15.2,22,17,10,9,3,9,17,52.9,8,18,9,9,21,43,63,1,Matches
302,Jesse Lingard,eng ENG,"FW,MF",Nott'ham Forest,29,1992,10.3,4,4,2,2,0,1,7,14.3,6,11,0,11,5,9,4,0,Matches
303,Valentino Livramento,eng ENG,"DF,FW",Southampton,19,2002,0.3,2,1,2,0,0,0,0,,0,0,0,0,2,4,3,0,Matches
304,Diego Llorente,es ESP,DF,Leeds United,28,1993,7.2,13,10,8,5,0,4,8,50.0,4,6,2,4,15,28,24,2,Matches
305,Hugo Lloris,fr FRA,GK,Tottenham,35,1986,24.5,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,13,4,Matches
306,Renan Lodi,br BRA,DF,Nott'ham Forest,24,1998,24.6,52,39,38,8,6,33,66,50.0,33,25,6,19,33,85,74,0,Matches
307,Ruben Loftus-Cheek,eng ENG,"MF,DF",Chelsea,26,1996,17.1,25,14,8,14,3,12,21,57.1,9,15,2,13,12,37,23,0,Matches
308,Sean Longstaff,eng ENG,MF,Newcastle Utd,24,1997,28.0,42,21,16,20,6,20,52,38.5,32,35,8,27,16,58,23,0,Matches
309,Jamal Lowe,jm JAM,"MF,FW",Bournemouth,28,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
310,Douglas Luiz,br BRA,MF,Aston Villa,24,1998,32.5,73,42,31,32,10,30,63,47.6,33,36,7,29,40,113,27,2,Matches
311,Saša Lukić,rs SRB,MF,Fulham,25,1996,4.6,8,3,1,4,3,3,7,42.9,4,6,2,4,5,13,3,0,Matches
312,Lyanco,br BRA,DF,Southampton,25,1997,13.1,24,16,15,9,0,12,18,66.7,6,30,25,5,20,44,65,2,Matches
313,Alexis Mac Allister,ar ARG,MF,Brighton,23,1998,32.1,70,39,22,40,8,34,70,48.6,36,26,2,24,22,92,10,1,Matches
314,James Maddison,eng ENG,"MF,FW",Leicester City,25,1996,27.6,51,26,25,19,7,19,50,38.0,31,19,1,18,13,64,6,1,Matches
315,Noni Madueke,eng ENG,FW,Chelsea,20,2002,7.1,12,8,5,4,3,6,13,46.2,7,13,2,11,4,16,7,0,Matches
316,Harry Maguire,eng ENG,DF,Manchester Utd,29,1993,8.5,8,6,6,1,1,4,5,80.0,1,18,11,7,13,21,41,0,Matches
317,Riyad Mahrez,dz ALG,"FW,MF",Manchester City,31,1991,21.3,30,14,8,13,9,13,39,33.3,26,27,1,26,9,39,5,0,Matches
318,Kobbie Mainoo,eng ENG,MF,Manchester Utd,17,2005,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
319,Ainsley Maitland-Niles,eng ENG,"DF,MF",Southampton,24,1997,15.6,45,24,23,18,4,28,44,63.6,16,28,7,21,22,67,45,1,Matches
320,Tyrell Malacia,nl NED,DF,Manchester Utd,22,1999,15.5,46,33,33,12,1,14,25,56.0,11,13,3,10,25,71,49,0,Matches
321,Orel Mangala,be BEL,MF,Nott'ham Forest,24,1998,17.2,28,20,16,10,2,12,29,41.4,17,21,7,14,23,51,15,0,Matches
322,Javier Manquillo,es ESP,DF,Newcastle Utd,28,1994,0.4,3,2,2,1,0,2,2,100.0,0,1,0,1,1,4,1,0,Matches
323,Sekou Mara,fr FRA,"FW,MF",Southampton,20,2002,6.2,14,10,5,8,1,3,9,33.3,6,11,0,11,1,15,5,0,Matches
324,Solly March,eng ENG,"FW,DF",Brighton,28,1994,30.2,53,31,16,17,20,8,28,28.6,20,34,3,31,24,77,32,0,Matches
325,Emiliano Marcondes,dk DEN,MF,Bournemouth,27,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
326,Marquinhos,br BRA,MF,Arsenal,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
327,Anthony Martial,fr FRA,FW,Manchester Utd,26,1995,10.9,5,3,0,2,3,1,4,25.0,3,11,2,9,1,6,4,0,Matches
328,Gabriel Martinelli,br BRA,FW,Arsenal,21,2001,31.0,31,18,13,12,6,9,22,40.9,13,24,1,23,9,40,14,0,Matches
329,Emiliano Martínez,ar ARG,GK,Aston Villa,29,1992,34.9,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,23,1,Matches
330,Lisandro Martínez,ar ARG,DF,Manchester Utd,24,1998,23.5,54,28,33,18,3,30,43,69.8,13,51,27,24,33,87,103,0,Matches
331,Pape Matar Sarr,sn SEN,"MF,FW",Tottenham,19,2002,2.4,7,6,4,2,1,4,8,50.0,4,3,2,1,6,13,6,0,Matches
332,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25,1997,8.6,7,1,2,4,1,1,3,33.3,2,3,1,2,3,10,18,0,Matches
333,Joël Matip,cm CMR,DF,Liverpool,30,1991,12.1,14,8,12,2,0,11,23,47.8,12,8,3,5,21,35,45,3,Matches
334,Neal Maupay,fr FRA,FW,Everton,25,1996,12.4,11,5,3,4,4,2,4,50.0,2,8,0,8,5,16,0,0,Matches
335,Kevin Mbabu,ch SUI,"DF,FW",Fulham,27,1995,1.6,3,2,2,1,0,1,3,33.3,2,2,0,2,3,6,3,0,Matches
336,Bryan Mbeumo,cm CMR,FW,Brentford,22,1999,32.3,26,18,5,13,8,8,42,19.0,34,24,1,23,13,39,21,0,Matches
337,James McArthur,sct SCO,MF,Crystal Palace,34,1987,0.6,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,2,0,Matches
338,Alex McCarthy,eng ENG,GK,Southampton,32,1989,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,1,Matches
339,John McGinn,sct SCO,"MF,FW",Aston Villa,27,1994,29.9,66,36,27,29,10,34,71,47.9,37,43,4,39,24,90,19,0,Matches
340,Scott McKenna,sct SCO,DF,Nott'ham Forest,25,1996,17.5,12,7,7,3,2,6,10,60.0,4,20,14,6,12,24,85,1,Matches
341,Weston McKennie,us USA,MF,Leeds United,23,1998,16.0,30,13,5,18,7,10,29,34.5,19,22,3,19,22,52,26,0,Matches
342,Dwight McNeil,eng ENG,"FW,MF",Everton,22,1999,27.8,64,41,35,14,15,27,62,43.5,35,46,7,39,31,95,41,0,Matches
343,Scott McTominay,sct SCO,MF,Manchester Utd,25,1996,12.9,32,19,16,10,6,13,22,59.1,9,15,6,9,14,46,45,0,Matches
344,Ben Mee,eng ENG,DF,Brentford,32,1989,36.3,45,24,28,13,4,20,37,54.1,17,54,42,12,48,93,122,1,Matches
345,Edouard Mendy,sn SEN,GK,Chelsea,30,1992,9.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3,Matches
346,Nampalys Mendy,sn SEN,MF,Leicester City,30,1992,8.4,13,9,7,6,0,8,15,53.3,7,20,4,16,13,26,2,0,Matches
347,Chris Mepham,wls WAL,DF,Bournemouth,24,1997,24.4,45,22,37,8,0,19,30,63.3,11,40,27,13,30,75,152,0,Matches
348,Illan Meslier,fr FRA,GK,Leeds United,22,2000,34.0,2,1,2,0,0,2,4,50.0,2,0,0,0,1,3,30,3,Matches
349,Alex Mighten,eng ENG,FW,Nott'ham Forest,20,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
350,Lewis Miley,eng ENG,MF,Newcastle Utd,16,2006,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
351,Luka Milivojević,rs SRB,MF,Crystal Palace,31,1991,5.7,13,7,7,4,2,7,10,70.0,3,13,4,9,12,25,10,0,Matches
352,James Milner,eng ENG,"MF,DF",Liverpool,36,1986,10.1,26,16,11,11,4,15,34,44.1,19,14,2,12,12,38,15,0,Matches
353,Yerry Mina,co COL,DF,Everton,27,1994,6.6,15,8,9,6,0,9,11,81.8,2,7,4,3,6,21,28,0,Matches
354,Tyrone Mings,eng ENG,DF,Aston Villa,29,1993,35.0,15,7,10,5,0,9,20,45.0,11,40,21,19,54,69,163,2,Matches
355,Tyrick Mitchell,eng ENG,DF,Crystal Palace,22,1999,32.1,71,49,43,23,5,30,53,56.6,23,48,11,37,42,113,78,0,Matches
356,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,25,1997,25.8,44,27,15,16,13,20,41,48.8,21,25,0,25,17,61,10,0,Matches
357,Aleksandar Mitrović,rs SRB,FW,Fulham,27,1994,22.3,14,7,8,4,2,5,12,41.7,7,22,5,17,3,17,20,1,Matches
358,Kieffer Moore,wls WAL,FW,Bournemouth,29,1992,14.2,14,11,2,9,3,5,16,31.3,11,12,5,7,1,15,26,0,Matches
359,Andrew Moran,ie IRL,FW,Brighton,18,2003,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
360,Álex Moreno,es ESP,DF,Aston Villa,29,1993,14.8,23,14,15,5,3,13,36,36.1,23,18,3,15,7,30,37,2,Matches
361,Mason Mount,eng ENG,"MF,FW",Chelsea,23,1999,18.3,33,19,6,16,11,14,27,51.9,13,24,6,18,8,41,9,0,Matches
362,Lucas Moura,br BRA,"MF,DF",Tottenham,29,1992,1.7,8,5,1,3,4,1,4,25.0,3,0,0,0,2,10,1,1,Matches
363,João Moutinho,pt POR,MF,Wolves,35,1986,19.8,51,30,24,21,6,19,46,41.3,27,22,6,16,18,69,20,0,Matches
364,Divin Mubama,eng ENG,FW,West Ham,17,2004,0.4,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
365,Mykhailo Mudryk,ua UKR,"FW,MF",Chelsea,21,2001,7.3,11,9,2,4,5,4,13,30.8,9,7,1,6,0,11,3,0,Matches
366,Jacob Murphy,eng ENG,FW,Newcastle Utd,27,1995,13.9,15,7,3,8,4,8,20,40.0,12,17,0,17,7,22,3,0,Matches
367,Enock Mwepu,zm ZAM,"FW,MF",Brighton,24,1998,2.4,10,5,1,6,3,3,4,75.0,1,3,1,2,1,11,1,0,Matches
368,Vitaliy Mykolenko,ua UKR,DF,Everton,23,1999,29.5,58,34,36,19,3,28,51,54.9,23,50,16,34,46,104,99,0,Matches
369,Keylor Navas,cr CRC,GK,Nott'ham Forest,35,1986,17.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,1,Matches
370,Wilfred Ndidi,ng NGA,MF,Leicester City,25,1996,18.7,61,42,34,24,3,17,43,39.5,26,32,14,18,38,99,48,3,Matches
371,Reiss Nelson,eng ENG,FW,Arsenal,22,1999,2.4,4,1,2,1,1,2,4,50.0,2,3,0,3,0,4,4,0,Matches
372,Neto,br BRA,GK,Bournemouth,33,1989,26.5,3,1,3,0,0,3,3,100.0,0,0,0,0,0,3,10,3,Matches
373,Pedro Neto,pt POR,"FW,MF",Wolves,22,2000,10.7,11,6,4,2,5,7,17,41.2,10,5,1,4,4,15,4,0,Matches
374,Rúben Neves,pt POR,MF,Wolves,25,1997,33.5,79,43,31,33,15,32,74,43.2,42,59,22,37,50,129,85,1,Matches
375,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,26,1996,12.9,18,9,15,3,0,11,22,50.0,11,18,8,10,19,37,60,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
376,Rasmus Nissen,dk DEN,DF,Leeds United,25,1997,21.8,62,35,35,21,6,42,76,55.3,34,32,14,18,35,97,61,0,Matches
377,Eddie Nketiah,eng ENG,FW,Arsenal,23,1999,12.1,13,9,6,2,5,2,8,25.0,6,7,1,6,1,14,7,0,Matches
378,Matheus Nunes,pt POR,MF,Wolves,23,1998,27.4,67,43,36,22,9,28,61,45.9,33,35,4,31,16,83,35,2,Matches
379,Darwin Núñez,uy URU,FW,Liverpool,23,1999,18.8,11,5,2,4,5,4,17,23.5,13,10,0,10,3,14,13,0,Matches
380,Ethan Nwaneri,eng ENG,FW,Arsenal,15,2007,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
381,Christian Nørgaard,dk DEN,MF,Brentford,28,1994,19.6,52,30,21,29,2,18,48,37.5,30,32,9,23,34,86,41,2,Matches
382,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,23,1998,6.5,16,9,4,11,1,6,12,50.0,6,13,2,11,5,21,9,0,Matches
383,Odeluga Offiah,eng ENG,DF,Brighton,19,2002,0.3,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,1,0,Matches
384,Angelo Ogbonna,it ITA,DF,West Ham,34,1988,13.7,11,4,7,4,0,5,10,50.0,5,11,7,4,17,28,74,1,Matches
385,Michael Olise,fr FRA,"FW,MF",Crystal Palace,20,2001,30.5,58,34,28,26,4,25,60,41.7,35,46,1,45,26,84,17,0,Matches
386,Robin Olsen,se SWE,GK,Aston Villa,32,1990,3.1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,Matches
387,Amadou Onana,be BEL,MF,Everton,20,2001,27.6,72,43,24,42,6,30,42,71.4,12,25,6,19,37,109,39,0,Matches
388,Josh Onomah,eng ENG,MF,Fulham,25,1997,0.2,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
389,Paul Onuachu,ng NGA,FW,Southampton,28,1994,4.5,3,2,1,1,1,1,3,33.3,2,4,1,3,0,3,4,0,Matches
390,Frank Onyeka,ng NGA,MF,Brentford,24,1998,9.4,19,14,11,7,1,10,25,40.0,15,16,3,13,10,29,16,0,Matches
391,Mislav Oršić,hr CRO,MF,Southampton,29,1992,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
392,Stefan Ortega,de GER,GK,Manchester City,29,1992,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
393,Dango Ouattara,bf BFA,"MF,FW",Bournemouth,20,2002,13.8,28,15,20,6,2,13,32,40.6,19,20,3,17,13,41,29,1,Matches
394,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",Liverpool,28,1993,3.7,5,4,1,2,2,1,5,20.0,4,5,2,3,1,6,4,0,Matches
395,David Ozoh,eng ENG,FW,Crystal Palace,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
396,João Palhinha,pt POR,MF,Fulham,27,1995,34.5,147,83,58,65,24,71,134,53.0,63,48,5,43,46,193,61,2,Matches
397,Cole Palmer,eng ENG,"MF,FW",Manchester City,20,2002,4.1,5,1,0,3,2,3,5,60.0,2,2,1,1,1,6,2,0,Matches
398,Emerson Palmieri,it ITA,DF,West Ham,27,1994,14.7,26,14,9,15,2,12,24,50.0,12,17,4,13,15,41,36,0,Matches
399,Lucas Paquetá,br BRA,MF,West Ham,24,1997,23.9,71,53,23,36,12,27,66,40.9,39,41,4,37,16,87,31,0,Matches
400,Thomas Partey,gh GHA,MF,Arsenal,29,1993,27.6,70,40,20,35,15,25,52,48.1,27,26,5,21,28,98,41,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
401,Nathan Patterson,sct SCO,"DF,MF",Everton,20,2001,14.2,49,24,32,13,4,29,53,54.7,24,24,4,20,15,64,45,0,Matches
402,Ben Pearson,eng ENG,MF,Bournemouth,27,1995,3.2,7,3,3,3,1,1,3,33.3,2,4,0,4,2,9,6,0,Matches
403,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,20,2001,0.7,1,1,0,1,0,0,0,,0,0,0,0,0,1,3,0,Matches
404,Andreas Pereira,br BRA,MF,Fulham,26,1996,29.9,18,9,3,6,9,8,33,24.2,25,21,3,18,6,24,8,0,Matches
405,Ricardo Pereira,pt POR,"DF,MF",Leicester City,28,1993,5.0,11,7,8,3,0,7,17,41.2,10,8,2,6,4,15,20,0,Matches
406,Ayoze Pérez,es ESP,"MF,FW",Leicester City,29,1993,4.2,11,8,5,4,2,8,19,42.1,11,6,0,6,2,13,3,0,Matches
407,Ivan Perišić,hr CRO,"DF,MF",Tottenham,33,1989,23.4,42,24,25,10,7,27,47,57.4,20,29,7,22,22,64,49,1,Matches
408,Romain Perraud,fr FRA,DF,Southampton,24,1997,20.4,54,33,23,23,8,28,52,53.8,24,24,6,18,20,74,42,0,Matches
409,Máximo Perrone,ar ARG,MF,Manchester City,19,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
410,Cameron Peupion,au AUS,MF,Brighton,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
411,Kalvin Phillips,eng ENG,MF,Manchester City,26,1995,3.3,6,4,3,3,0,2,10,20.0,8,7,3,4,5,11,10,0,Matches
412,Nathaniel Phillips,eng ENG,DF,Liverpool,25,1997,0.7,2,1,0,2,0,2,2,100.0,0,0,0,0,2,4,1,0,Matches
413,Jordan Pickford,eng ENG,GK,Everton,28,1994,37.0,0,0,0,0,0,0,1,0.0,1,0,0,0,4,4,15,3,Matches
414,Ethan Pinnock,jm JAM,DF,Brentford,29,1993,30.0,52,28,33,12,7,18,24,75.0,6,41,31,10,35,87,215,2,Matches
415,Daniel Podence,pt POR,"FW,MF",Wolves,26,1995,19.7,27,17,13,9,5,6,31,19.4,25,19,0,19,7,34,6,0,Matches
416,Nick Pope,eng ENG,GK,Newcastle Utd,30,1992,36.2,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,27,2,Matches
417,Pedro Porro,es ESP,"DF,MF",Tottenham,22,1999,12.6,25,16,8,15,2,14,39,35.9,25,25,2,23,15,40,24,1,Matches
418,Dennis Praet,be BEL,"MF,FW",Leicester City,28,1994,7.2,12,9,5,6,1,6,11,54.5,5,12,2,10,5,17,6,0,Matches
419,Isaac Price,nir NIR,MF,Everton,18,2003,0.4,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,Matches
420,Christian Pulisic,us USA,"FW,DF",Chelsea,23,1998,9.1,11,6,3,6,2,3,5,60.0,2,8,1,7,4,15,4,0,Matches
421,Aaron Ramsdale,eng ENG,GK,Arsenal,24,1998,38.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,20,6,Matches
422,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,21,2001,29.3,69,39,23,35,11,32,69,46.4,37,48,8,40,23,92,34,0,Matches
423,Marcus Rashford,eng ENG,FW,Manchester Utd,24,1997,32.0,20,10,7,8,5,9,24,37.5,15,31,4,27,7,27,14,0,Matches
424,David Raya,es ESP,GK,Brentford,26,1995,38.0,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,10,2,Matches
425,Tim Ream,us USA,DF,Fulham,34,1987,32.2,30,16,15,12,3,13,26,50.0,13,45,24,21,41,71,116,2,Matches
